# file...... load_l671_freq.csv
# date...... Thu Nov 10 12:44:04 2016
# user...... jingkungao
# host...... (null)
# target.... load 63
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,GFA_status,measured_frequency,voltage_A.real,voltage_A.imag,voltage_B.real,voltage_B.imag,voltage_C.real,voltage_C.imag
2000-01-01 00:00:02.170000 EST,FALSE,+60.3793890436,+1235.37327347,+2055.2618134,+1448.70017849,-2247.61954358,-2429.687183,+22.4346108456
2000-01-01 00:00:02.180000 EST,FALSE,+60.3744304435,+1187.56608025,+2083.30828497,+1500.27267625,-2213.57590333,-2429.60598342,-33.7242813204
2000-01-01 00:00:02.190000 EST,FALSE,+60.3696151189,+1139.4789714,+2110.04922941,+1550.67627569,-2178.61061216,-2428.24095295,-89.4565779074
2000-01-01 00:00:02.200000 EST,FALSE,+60.3649461473,+1091.1575786,+2135.49012719,+1599.89433348,-2142.77211738,-2425.62030344,-144.725306441
2000-01-01 00:00:02.210000 EST,FALSE,+60.3604247613,+1042.64650721,+2159.63961643,+1647.91360822,-2106.10928628,-2421.77450143,-199.495958175
2000-01-01 00:00:02.220000 EST,FALSE,+60.356050802,+993.9891253,+2182.50909303,+1694.72401673,-2068.67104594,-2416.73580943,-253.736482185
2000-01-01 00:00:02.230000 EST,FALSE,+60.3518228347,+945.227418917,+2204.11154175,+1740.31775655,-2030.50574173,-2410.53716814,-307.416856426
2000-01-01 00:00:02.240000 EST,FALSE,+60.3477380766,+896.401967381,+2224.46071195,+1784.68864949,-1991.66073946,-2403.21144449,-360.508714114
2000-01-01 00:00:02.250000 EST,FALSE,+60.3437924114,+847.551992968,+2243.57123447,+1827.83218663,-1952.18250301,-2394.79156214,-412.985348636
2000-01-01 00:00:02.260000 EST,FALSE,+60.3399806009,+798.715345631,+2261.45916032,+1869.74593455,-1912.11680656,-2385.31098034,-464.821976772
2000-01-01 00:00:02.270000 EST,FALSE,+60.336296594,+749.928441899,+2278.14222046,+1910.42974221,-1871.50879095,-2374.80390065,-515.995911387
2000-01-01 00:00:02.280000 EST,FALSE,+60.3327337618,+701.226196218,+2293.63954239,+1949.88552956,-1830.40277242,-2363.30498069,-566.486484108
2000-01-01 00:00:02.290000 EST,FALSE,+60.3292850179,+652.642058126,+2307.97119753,+1988.11689051,-1788.84207212,-2350.84894878,-616.27479375
2000-01-01 00:00:02.300000 EST,FALSE,+60.3259428552,+604.2080315,+2321.15787748,+2025.1288119,-1746.86887945,-2337.47032335,-665.343531403
2000-01-01 00:00:02.310000 EST,FALSE,+60.3226994325,+555.954693509,+2333.22089918,+2060.92764755,-1704.52426537,-2323.20342944,-713.67696193
2000-01-01 00:00:02.320000 EST,FALSE,+60.3195467101,+507.91117436,+2344.1823445,+2095.52121633,-1661.8482247,-2308.08251718,-761.261004729
2000-01-01 00:00:02.330000 EST,FALSE,+60.3164766111,+460.105136876,+2354.06508744,+2128.91881252,-1618.87966936,-2292.14177944,-808.083261526
2000-01-01 00:00:02.340000 EST,FALSE,+60.3134811463,+412.562789411,+2362.89264072,+2161.13106094,-1575.65637002,-2275.41522265,-854.132928961
2000-01-01 00:00:02.350000 EST,FALSE,+60.3105524865,+365.308929157,+2370.68893897,+2192.16970968,-1532.2148945,-2257.93649516,-899.400654437
2000-01-01 00:00:02.360000 EST,FALSE,+60.3076830095,+318.366984814,+2377.47820051,+2222.04748536,-1488.59058149,-2239.73878619,-943.878429722
2000-01-01 00:00:02.370000 EST,FALSE,+60.3048653516,+271.759028367,+2383.28489699,+2250.77804806,-1444.81753547,-2220.85480639,-987.559563431
2000-01-01 00:00:02.380000 EST,FALSE,+60.3020924825,+225.50581394,+2388.13378426,+2278.3759789,-1400.92868123,-2201.31683854,-1030.43865931
2000-01-01 00:00:02.390000 EST,FALSE,+60.2993577518,+179.626752038,+2392.04983091,+2304.85672414,-1356.955704,-2181.15666173,-1072.51160265
2000-01-01 00:00:02.400000 EST,FALSE,+60.2966549626,+134.139969769,+2395.05815474,+2330.23650156,-1312.9290791,-2160.40552693,-1113.77547499
2000-01-01 00:00:02.410000 EST,FALSE,+60.293978381,+89.0623488687,+2397.18392192,+2354.5321914,-1268.87805997,-2139.09408687,-1154.22847069
2000-01-01 00:00:02.420000 EST,FALSE,+60.2913227551,+44.4094430074,+2398.45235036,+2377.76120761,-1224.83067803,-2117.25234125,-1193.86978444
2000-01-01 00:00:02.430000 EST,FALSE,+60.288683345,+0.196013733223,+2398.8883672,+2399.94160026,-1180.81378142,-2094.90967104,-1232.69971598
