# file...... triplex_main_power.csv
# date...... Thu Nov 10 12:44:04 2016
# user...... jingkungao
# host...... (null)
# target.... triplex_meter 28
# trigger... (none)
# interval.. 1
# limit..... 0
# timestamp,measured_power
2000-01-01 00:00:04.350000 EST,+4.06847989612e-10-92.9126222134d
2000-01-01 00:00:04.360000 EST,+8.69078129844e-10-161.905540726d
2000-01-01 00:00:04.370000 EST,+3.27015729019e-09+172.664539044d
2000-01-01 00:00:04.380000 EST,+1.65669122229e-09-170.854731961d
2000-01-01 00:00:04.390000 EST,+8.20522657828e-10-8.07566357095d
2000-01-01 00:00:04.400000 EST,+1.656596913e-09-169.788685139d
2000-01-01 00:00:04.410000 EST,+3.05273234815e-10-89.8453204905d
2000-01-01 00:00:04.420000 EST,+8.20439452053e-10-172.136087623d
2000-01-01 00:00:04.430000 EST,+8.20537335219e-10-5.78296670843d
2000-01-01 00:00:04.440000 EST,+2.46184373274e-09-5.16415218054d
2000-01-01 00:00:04.450000 EST,+8.69670532288e-10-17.9628488142d
2000-01-01 00:00:04.460000 EST,+1.77761046675e-09-153.132046804d
2000-01-01 00:00:04.470000 EST,+3.05356819412e-10-86.102857427d
2000-01-01 00:00:04.480000 EST,+1.63180932836e-09-171.855253836d
2000-01-01 00:00:04.490000 EST,+4.07181473144e-10-84.7489972231d
2000-01-01 00:00:04.500000 EST,+3.25919192627e-09-172.266804084d
2000-01-01 00:00:04.510000 EST,+1.78153882104e-10-83.3559105781d
2000-01-01 00:00:04.520000 EST,+1.78155404934e-10-82.6471711784d
2000-01-01 00:00:04.530000 EST,+8.14834186323e-10-170.140984696d
2000-01-01 00:00:04.540000 EST,+1.08222732095e-09+147.606371303d
2000-01-01 00:00:04.550000 EST,+3.11795395948e-10-80.4784948917d
2000-01-01 00:00:04.560000 EST,+7.63601580415e-11+100.255791907d
2000-01-01 00:00:04.570000 EST,+4.07770481624e-09-171.867994596d
2000-01-01 00:00:04.580000 EST,+8.39603588743e-10+25.7730713025d
2000-01-01 00:00:04.590000 EST,+2.62812268828e-09+170.887265526d
2000-01-01 00:00:04.600000 EST,+8.39634846515e-10-152.732637641d
2000-01-01 00:00:04.610000 EST,+2.47745812574e-09-175.480477831d
2000-01-01 00:00:04.620000 EST,+2.44379675035e-09+14.7341512644d
2000-01-01 00:00:04.630000 EST,+1.6489917237e-09-173.393134841d
2000-01-01 00:00:04.640000 EST,+4.09343242612e-09-169.469060332d
2000-01-01 00:00:04.650000 EST,+1.65766351517e-09-152.384567354d
2000-01-01 00:00:04.660000 EST,+4.8974299736e-09-165.826489792d
